Date,Time,S01_C02_ival,S01_C02_T,S02_C02_ival,S02_C02_T,S03_C02_ival,S03_C02_T
06/08/15,00:00:00,8.9074572809,200040,0.0769812789,99960,4.6919288841,150000
06/08/15,01:00:00,6.6629692023,200931,0.0769812789,99968,3.5483199377,150469
06/08/15,02:00:00,5.844995554,201597,0.0769812789,99975,3.6931904485,150824
06/08/15,03:00:00,6.6978497603,202182,0.0769812789,99983,3.6436673377,151193
06/08/15,04:00:00,7.3543516908,202851,0.0769812789,99991,5.410895029,151558
06/08/15,05:00:00,16.2132659765,203587,17.461329105,99998,12.1426472269,152099
06/08/15,06:00:00,20.553116824,205208,15.8601391737,101745,15.8632628197,153313
06/08/15,07:00:00,22.0723610585,207263,12.5719812789,103331,16.7493639746,154899
06/08/15,08:00:00,25.5315849639,209471,13.4049812789,104588,20.4388801037,156574
06/08/15,09:00:00,25.6119707384,212024,11.1836479456,105928,19.3260752256,158618
06/08/15,10:00:00,24.4573387038,214585,11.5009812789,107047,18.8279646107,160551
06/08/15,11:00:00,22.8561037124,217031,10.8834677654,108197,17.6862205292,162434
06/08/15,12:00:00,23.3360775372,219316,11.1836479456,109285,17.9956982855,164202
06/08/15,13:00:00,21.5476659765,221650,10.3292889712,110404,16.1318717355,166002
06/08/15,14:00:00,19.9942418007,223805,10.0729812789,111436,15.1984954883,167615
06/08/15,15:00:00,19.362831934,225804,6.7409812789,112444,14.4480264451,169135
06/08/15,16:00:00,19.3755749586,227740,10.0729812789,113118,15.1005043075,170580
06/08/15,17:00:00,18.8184380696,229678,11.1836479456,114125,15.6675386402,172090
06/08/15,18:00:00,18.395520522,231560,12.9750457951,115243,15.1984954883,173656
06/08/15,19:00:00,16.2132659765,233399,12.5719812789,116541,13.6214114844,175176
06/08/15,20:00:00,15.1066617212,235021,9.5969812789,117798,12.1426472269,176538
06/08/15,21:00:00,13.6205687698,236531,6.526013537,118758,10.3033905932,177753
06/08/15,22:00:00,11.9771248001,237893,5.3380339105,119410,7.1608188792,178783
06/08/15,23:00:00,9.5686624678,239091,0.0769812789,119944,5.0086852985,179499
